"","시군구","인원수","전체","재가","시설급여","전체_비율","재가_비율","시설_비율"
"126","전주시덕진구",1764,153,139,14,86.734693877551,78.7981859410431,7.93650793650794
"127","전주시완산구",2545,215,185,30,84.4793713163065,72.6915520628684,11.7878192534381
"128","정선군",652,17,10,7,26.0736196319018,15.3374233128834,10.7361963190184
"129","정읍시",1205,128,105,23,106.224066390041,87.1369294605809,19.0871369294606
"130","제주시",4374,169,121,48,38.6374028349337,27.6634659350709,10.9739368998628
"131","제천시",1814,99,68,31,54.5755237045204,37.4862183020948,17.0893054024256
"132","증평군",386,28,19,9,72.5388601036269,49.2227979274611,23.3160621761658
"133","진도군",572,23,20,3,40.2097902097902,34.965034965035,5.24475524475525
"134","진안군",414,26,18,8,62.8019323671498,43.4782608695652,19.3236714975845
"135","진주시",3071,224,196,28,72.9404102898079,63.8228590035819,9.11755128622599
"136","진천군",709,46,29,17,64.8801128349788,40.9026798307475,23.9774330042313
"137","창녕군",924,60,51,9,64.9350649350649,55.1948051948052,9.74025974025974
"138","창원시 마산합포구",1272,NA,NA,NA,NA,NA,NA
"139","창원시 마산회원구",1050,NA,NA,NA,NA,NA,NA
"140","창원시 성산구",845,NA,NA,NA,NA,NA,NA
"141","창원시 의창구",1208,NA,NA,NA,NA,NA,NA
"142","창원시 진해구",1237,NA,NA,NA,NA,NA,NA
"143","천안시동남구",2078,114,84,30,54.8604427333975,40.4234841193455,14.436958614052
"144","천안시서북구",1919,151,108,43,78.686816050026,56.2793121417405,22.4075039082856
"145","철원군",437,21,15,6,48.0549199084668,34.324942791762,13.7299771167048
"146","청도군",891,57,44,13,63.973063973064,49.3827160493827,14.5903479236813
"147","청송군",425,17,12,5,40,28.2352941176471,11.7647058823529
"148","청양군",587,27,20,7,45.9965928449744,34.0715502555366,11.9250425894378
"149","청주시상당구",2121,123,83,40,57.991513437058,39.1324846770391,18.8590287600189
"150","청주시서원구",1940,122,99,23,62.8865979381443,51.0309278350515,11.8556701030928
"151","청주시청원구",1570,103,66,37,65.6050955414013,42.0382165605096,23.5668789808917
"152","청주시흥덕구",1688,91,69,22,53.9099526066351,40.8767772511848,13.0331753554502
"153","춘천시",3683,180,111,69,48.8732011946783,30.1384740700516,18.7347271246267
"154","충주시",2303,143,92,51,62.0929222752931,39.9478940512375,22.1450282240556
"155","칠곡군",855,66,41,25,77.1929824561404,47.953216374269,29.2397660818713
"156","태백시",566,13,10,3,22.9681978798587,17.6678445229682,5.30035335689046
"157","태안군",1119,43,32,11,38.4271671134942,28.5969615728329,9.8302055406613
"158","통영시",1137,43,36,7,37.8188214599824,31.6622691292876,6.15655233069481
"159","파주시",3284,293,172,121,89.2204628501827,52.3751522533496,36.8453105968331
"160","평창군",734,28,19,9,38.1471389645777,25.8855585831063,12.2615803814714
"161","평택시",4413,238,187,51,53.9315658282348,42.3748017221845,11.5567641060503
"162","포천시",1594,146,73,73,91.5934755332497,45.7967377666248,45.7967377666248
"163","포항시남구",1574,138,117,21,87.6747141041931,74.3329097839898,13.3418043202033
"164","포항시북구",1949,148,126,22,75.9363776295536,64.648537711647,11.2878399179066
"165","하남시",1951,104,84,20,53.305996924654,43.0548436699129,10.2511532547412
"166","하동군",1069,57,48,9,53.3208606173994,44.9017773620206,8.41908325537886
"167","함안군",700,70,56,14,100,80,20
"168","함양군",746,35,26,9,46.916890080429,34.8525469168901,12.0643431635389
"169","함평군",739,39,26,13,52.7740189445196,35.1826792963464,17.5913396481732
"170","합천군",763,36,30,6,47.1821756225426,39.3184796854522,7.86369593709043
"171","해남군",1257,67,47,20,53.3015115354018,37.3906125696102,15.9108989657916
"172","홍성군",1738,74,62,12,42.5776754890679,35.6731875719218,6.90448791714614
"173","홍천군",1048,45,26,19,42.9389312977099,24.8091603053435,18.1297709923664
"174","화성시",4567,263,168,95,57.5870374425224,36.7856360849573,20.8014013575651
"175","화순군",912,53,37,16,58.1140350877193,40.5701754385965,17.5438596491228
"176","화천군",383,10,4,6,26.1096605744125,10.443864229765,15.6657963446475
"177","횡성군",804,35,17,18,43.5323383084577,21.1442786069652,22.3880597014925
"178",NA,NA,NA,NA,NA,NA,NA,NA
